날짜,시간대,활동,소개,운영시간,주소
2024-11-15,오전,에펠탑 방문,"파리의 상징적인 랜드마크로, 도시 전경을 감상할 수 있습니다.",09:30 - 23:45,"Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France"
2024-11-15,오전,샹젤리제 거리 산책 및 쇼핑,고급 브랜드와 다양한 상점이 즐비한 파리의 대표 쇼핑 거리입니다.,상점마다 다름,"Avenue des Champs-Élysées, 75008 Paris, France"
2024-11-15,오후,루브르 박물관 관람,"세계에서 가장 큰 미술관 중 하나로, 모나리자와 같은 명작을 소장하고 있습니다.",09:00 - 18:00,"Rue de Rivoli, 75001 Paris, France"
2024-11-15,오후,오르세 미술관 방문,"인상주의 작품을 중심으로 한 미술관으로, 고흐와 모네의 작품을 감상할 수 있습니다.",09:30 - 18:00,"1 Rue de la Légion d'Honneur, 75007 Paris, France"
2024-11-15,저녁,레스토랑 르 쥘 베른에서 저녁 식사,"에펠탑 내에 위치한 미슐랭 스타 레스토랑으로, 프랑스 요리를 제공합니다.","12:00 - 13:30, 19:00 - 21:30","Tour Eiffel, Avenue Gustave Eiffel, 75007 Paris, France"
2024-11-15,저녁,세느강 유람선 투어,파리의 야경을 감상할 수 있는 낭만적인 유람선 투어입니다.,18:00 - 22:00,"Port de la Bourdonnais, 75007 Paris, France"
2024-11-16,오전,몽마르트르 언덕과 사크레쾨르 대성당 방문,"예술가들의 마을로 유명하며, 파리 전경을 한눈에 볼 수 있는 장소입니다.",06:00 - 22:30,"35 Rue du Chevalier de la Barre, 75018 Paris, France"
2024-11-16,오전,몽마르트르 거리 예술가들과의 만남,거리 예술가들이 그림을 그리고 있는 모습을 볼 수 있는 곳입니다.,상시,"Place du Tertre, 75018 Paris, France"
2024-11-16,오후,갤러리 라파예트 백화점 쇼핑,"파리의 대표적인 백화점으로, 다양한 브랜드와 상품을 제공합니다.",10:00 - 20:00,"40 Boulevard Haussmann, 75009 Paris, France"
2024-11-16,오후,오페라 가르니에 투어,화려한 건축 양식과 인테리어로 유명한 파리의 오페라 하우스입니다.,10:00 - 17:00,"Place de l'Opéra, 75009 Paris, France"
2024-11-16,저녁,레스토랑 르 메우르스에서 저녁 식사,파리의 고급 프랑스 요리를 맛볼 수 있는 미슐랭 3스타 레스토랑입니다.,"12:30 - 14:30, 19:30 - 22:00","228 Rue de Rivoli, 75001 Paris, France"
2024-11-16,저녁,물랑루즈 쇼 관람,"세계적으로 유명한 카바레 쇼로, 화려한 공연을 즐길 수 있습니다.",21:00 - 23:00,"82 Boulevard de Clichy, 75018 Paris, France"
2024-11-17,오전,노트르담 대성당 방문,"고딕 양식의 대표적인 성당으로, 파리의 역사적인 랜드마크입니다.",08:00 - 18:45,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France"
2024-11-17,오전,생트 샤펠 방문,화려한 스테인드글라스로 유명한 중세 성당입니다.,09:00 - 17:00,"8 Boulevard du Palais, 75001 Paris, France"
2024-11-17,오후,마레 지구 탐방,역사적인 건물과 현대적인 상점이 공존하는 파리의 매력적인 지역입니다.,상시,"Le Marais, 75003 Paris, France"
2024-11-17,오후,피카소 미술관 관람,피카소의 다양한 작품을 소장하고 있는 미술관입니다.,10:30 - 18:00,"5 Rue de Thorigny, 75003 Paris, France"
2024-11-17,저녁,레스토랑 르 트루 마드에서 저녁 식사,현지인들에게 인기 있는 프랑스 전통 요리 레스토랑입니다.,"12:00 - 14:30, 19:00 - 22:30","3 Rue de la Bastille, 75004 Paris, France"
2024-11-17,저녁,바토 무슈 야경 투어,세느강을 따라 파리의 야경을 감상할 수 있는 유람선 투어입니다.,19:00 - 22:30,"Port de la Conférence, 75008 Paris, France"
2024-11-18,오전,베르사유 궁전 투어,화려한 궁전과 정원으로 유명한 프랑스의 역사적인 장소입니다.,09:00 - 17:30,"Place d'Armes, 78000 Versailles, France"
2024-11-18,오전,베르사유 정원 산책,궁전 주변의 아름다운 정원을 산책하며 여유로운 시간을 보낼 수 있습니다.,08:00 - 18:00,"Place d'Armes, 78000 Versailles, France"
2024-11-18,오후,라데팡스 지역 방문,현대적인 건축물과 쇼핑몰이 있는 파리의 비즈니스 지구입니다.,상시,"La Défense, 92400 Courbevoie, France"
2024-11-18,오후,아르크 드 라 데팡스 관람,"현대적인 디자인의 대형 아치로, 파리의 새로운 랜드마크입니다.",10:00 - 19:00,"1 Parvis de la Défense, 92800 Puteaux, France"
2024-11-18,저녁,레스토랑 르 셰프에서 저녁 식사,현대적인 프랑스 요리를 제공하는 인기 레스토랑입니다.,"12:00 - 14:30, 19:00 - 22:30","13 Rue de l'Ancienne Comédie, 75006 Paris, France"
2024-11-18,저녁,파리의 마지막 밤을 마무리하는 세느강 산책,세느강을 따라 파리의 야경을 감상하며 여행을 마무리합니다.,상시,"Quai de la Tournelle, 75005 Paris, France"
